flowId,label,domain,owner_surface,visible_surfaces,route_screen_component,source_file,reachable,duplicate,contradiction,hidden_compat,should_be_visible,should_be_on_demand,current_on_demand_status,notes
bthwani_dsh_app_field_store_onboarding_v3,bthwani_dsh_app_field_store_onboarding_v3,other,app-field,app-field,dsh/frontend/app-field/data/field-onboarding.storage.ts,dsh/frontend/app-field/data/field-onboarding.storage.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
canonical-product-field-lead-5-featured,canonical product field lead 5 featured,other,shared/multi,app-partner|control-panel|shared,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx | dsh/frontend/control-panel/partners/workflow.ts | dsh/frontend/shared/dshStoreProductCardModel.ts,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,TBD-static-refs,yes,TBD,no,TBD,TBD,TBD,3 refs across 3 files
canonical-store-field-lead-5,canonical store field lead 5,other,shared/multi,control-panel|shared,dsh/frontend/control-panel/partners/workflow.ts | dsh/frontend/shared/dshStoreProductCardModel.ts,dsh/frontend/control-panel/partners/workflow.ts,TBD,yes,TBD,no,TBD,TBD,TBD,2 refs across 2 files
captain-delivery-proof,captain delivery proof,order/delivery,shared,shared,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,TBD,no,TBD,no,TBD,yes,TBD,2 refs across 1 files
captain-finance,captain finance,finance,control-panel,control-panel,dsh/frontend/control-panel/finance/FinanceHubScreen.tsx | dsh/frontend/control-panel/finance/FinanceHubScreens.tsx | dsh/frontend/control-panel/finance/finance.registry.ts | dsh/frontend/control-panel/finance/finance.types.ts,dsh/frontend/control-panel/finance/FinanceHubScreen.tsx,TBD-static-refs,yes,TBD,no,TBD,yes,TBD,9 refs across 4 files
captain-order-,captain order ,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh/frontend/app-captain/DshCaptainSurface.tsx,TBD-static-refs,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain-order-9021,captain order 9021,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx | dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx | dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh/frontend/app-captain/DshCaptainSurface.tsx,TBD-static-refs,yes,TBD,no,TBD,yes,TBD,9 refs across 3 files
captain-order-9024,captain order 9024,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx | dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh/frontend/app-captain/DshCaptainSurface.tsx,TBD-static-refs,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
captain-order-awn-3104,captain order awn 3104,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,TBD-static-refs,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain-order-spx-2078,captain order spx 2078,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,TBD-static-refs,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
