"Surface","ScreenName","UiNodeType","RelativePath","FileName","Extension","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"app-captain","useDshCaptainDeliveryPositionPing","component","packages\surfaces\src\dsh\app-captain\hooks\useDshCaptainDeliveryPositionPing.ts","useDshCaptainDeliveryPositionPing.ts",".ts","3","dsh_deliveries; dsh_dsh_smart_notifications_captain_near_spec; dsh_smart_notifications_captain_near_spec","False","False","MODIFY_MAJOR"
"app-field","index","component","packages\surfaces\src\dsh\app-field\mobile\index.ts","index.ts",".ts","0","","False","False","REFERENCE_ONLY"
"app-field","StyleSheet","component","packages\surfaces\src\dsh\app-field\mobile\auto_dsh_field_store_activation_request.tsx","auto_dsh_field_store_activation_request.tsx",".tsx","2","dsh_field_store_activation_request; dsh_field_stores","True","False","MODIFY_MAJOR"
"app-field","StyleSheet","component","packages\surfaces\src\dsh\app-field\mobile\auto_dsh_field_store_geo_pin.tsx","auto_dsh_field_store_geo_pin.tsx",".tsx","2","dsh_field_store_geo_pin; dsh_field_stores","True","False","MODIFY_MAJOR"
"app-field","StyleSheet","component","packages\surfaces\src\dsh\app-field\mobile\auto_dsh_field_store_visit_log.tsx","auto_dsh_field_store_visit_log.tsx",".tsx","2","dsh_field_store_visit_log; dsh_field_stores","True","False","MODIFY_MAJOR"
"app-partner","index","component","packages\surfaces\src\dsh\app-partner\mobile\index.ts","index.ts",".ts","0","","False","False","REFERENCE_ONLY"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_auction_status_update.tsx","auto_dsh_partner_auction_status_update.tsx",".tsx","3","dsh_auction_status_update; dsh_auctions; dsh_partner_store_get","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_audience_insights_get.tsx","auto_dsh_partner_audience_insights_get.tsx",".tsx","0","","True","False","REFERENCE_ONLY"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_chat_read_ack.tsx","auto_dsh_partner_chat_read_ack.tsx",".tsx","2","dsh_partner_chat_read_ack; dsh_partner_orders","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_chat_send.tsx","auto_dsh_partner_chat_send.tsx",".tsx","2","dsh_partner_chat_send; dsh_partner_orders","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_commission_by_mode_get.tsx","auto_dsh_partner_commission_by_mode_get.tsx",".tsx","0","","True","False","REFERENCE_ONLY"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_delivery_ops_board.tsx","auto_dsh_partner_delivery_ops_board.tsx",".tsx","1","dsh_partner_delivery_ops_board","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_delivery_zones_update.tsx","auto_dsh_partner_delivery_zones_update.tsx",".tsx","3","dsh_partner_delivery_zones_update; dsh_partner_store_get; dsh_partner_store_zones","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_doc_upload.tsx","auto_dsh_partner_doc_upload.tsx",".tsx","2","dsh_partner_doc_upload; dsh_partners","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_hours_update.tsx","auto_dsh_partner_hours_update.tsx",".tsx","3","dsh_partner_hours_update; dsh_partner_store_get; dsh_partner_store_hours","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_identity_submit.tsx","auto_dsh_partner_identity_submit.tsx",".tsx","2","dsh_partner_identity_submit; dsh_partners","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_intake_start.tsx","auto_dsh_partner_intake_start.tsx",".tsx","2","dsh_partner_intake_start; dsh_partners_intake","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_inventory_adjust.tsx","auto_dsh_partner_inventory_adjust.tsx",".tsx","2","dsh_partner_inventory_adjust; dsh_partners_me_inventory_adjust","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_inventory_update.tsx","auto_dsh_partner_inventory_update.tsx",".tsx","2","dsh_partner_inventory_update; dsh_partner_stores","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_items_upsert.tsx","auto_dsh_partner_items_upsert.tsx",".tsx","1","dsh_partner_items_upsert","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_listing_status_update.tsx","auto_dsh_partner_listing_status_update.tsx",".tsx","3","dsh_listing_status_update; dsh_listings; dsh_partner_store_get","True","False","KEEP_REBUILD_CLEAN"
