"operation_id","canonical_name","actors","surfaces","classification","trigger","state_effect","source_trace"
"dsh_service_modes_resolve","dsh_service_modes_resolve","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_service_modes_resolve/OP_SPEC.yaml"
"dsh_store_commission_set","dsh_store_commission_set","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_store_commission_set/OP_SPEC.yaml"
"dsh_store_fulfillment_profile_update","dsh_store_fulfillment_profile_update","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_store_fulfillment_profile_update/OP_SPEC.yaml"
"dsh_store_modes_set","dsh_store_modes_set","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_store_modes_set/OP_SPEC.yaml"
"dsh_store_products","dsh_store_products","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_store_products/OP_SPEC.yaml"
"dsh_store_service_modes_get","dsh_store_service_modes_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_store_service_modes_get/OP_SPEC.yaml"
"dsh_store_zones_set","dsh_store_zones_set","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_store_zones_set/OP_SPEC.yaml"
"dsh_subscription_bundles_list","dsh_subscription_bundles_list","ops","control-panel","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_subscription_bundles_list/OP_SPEC.yaml"
"dsh_subscription_categories_get","dsh_subscription_categories_get","ops","control-panel","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_subscription_categories_get/OP_SPEC.yaml"
"dsh_subscription_family_get","dsh_subscription_family_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_subscription_family_get/OP_SPEC.yaml"
"dsh_subscription_family_members_get","dsh_subscription_family_members_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_subscription_family_members_get/OP_SPEC.yaml"
"dsh_subscription_family_members_post","dsh_subscription_family_members_post","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_subscription_family_members_post/OP_SPEC.yaml"
"dsh_subscription_sync","dsh_subscription_sync","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_subscription_sync/OP_SPEC.yaml"
"dsh_subscription_tier_get","dsh_subscription_tier_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_subscription_tier_get/OP_SPEC.yaml"
"dsh_subscription_upgrade_post","dsh_subscription_upgrade_post","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_subscription_upgrade_post/OP_SPEC.yaml"
"dsh_zone_set","dsh_zone_set","ops","app-partner|control-panel","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_zone_set/OP_SPEC.yaml"
