"Operation","Surface","ScreenName","UiNodeType","RelativePath","Decision"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_store_delivered.tsx","MODIFY_MAJOR"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_accept.tsx","MODIFY_MAJOR"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_reject.tsx","MODIFY_MAJOR"
"dsh_partner_orders","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_chat_read_ack.tsx","KEEP_REBUILD_CLEAN"
"dsh_partner_orders","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_chat_send.tsx","KEEP_REBUILD_CLEAN"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_ready.tsx","MODIFY_MAJOR"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_prepare.tsx","MODIFY_MAJOR"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_out_for_delivery.tsx","MODIFY_MAJOR"
"dsh_partner_orders","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_handoff.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_reject.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_prepare.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_accept.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_out_for_delivery.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_store_delivered.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_handoff.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_ready.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_orders_list.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","unknown","pattern_unification.test","component","packages\surfaces\src\dsh\__tests__\pattern_unification.test.ts","MODIFY_MAJOR"
"dsh_partner_orders_list","unknown","StyleSheet","component","packages\surfaces\src\dsh\DshPartnerOrdersList.tsx","MODIFY_MAJOR"
"dsh_partner_orders_list","unknown","types","component","packages\surfaces\src\dsh\types.ts","MODIFY_MAJOR"
"dsh_partner_orders_list","unknown","wrappers","component","packages\surfaces\src\dsh\wrappers.ts","MODIFY_MAJOR"
"dsh_partner_profile","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_update.tsx","MODIFY_MAJOR"
"dsh_partner_profile","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_profile_get.tsx","MODIFY_MAJOR"
"dsh_partner_profile","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_get.tsx","MODIFY_MAJOR"
"dsh_partner_profile_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_profile_get.tsx","MODIFY_MAJOR"
"dsh_partner_quick_reply_config_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_config_get.tsx","MODIFY_MAJOR"
"dsh_partner_quick_reply_config_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_settings.tsx","MODIFY_MAJOR"
"dsh_partner_quick_reply_config_get","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_partner_quick_reply_post","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_partner_quick_reply_setup","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_setup.tsx","MODIFY_MAJOR"
"dsh_partner_quick_reply_setup","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_settings.tsx","MODIFY_MAJOR"
"dsh_partner_quick_reply_setup","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_config_get.tsx","MODIFY_MAJOR"
"dsh_partner_quick_reply_setup","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_partner_staff_analytics_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_staff_analytics_get.tsx","MODIFY_MAJOR"
"dsh_partner_store_create","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_hours_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_delivery_zones_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_listing_status_update.tsx","KEEP_REBUILD_CLEAN"
